state	Year	tax_state	cost_per_pack	tax_percent	tax_revenue	tax_dollar	sales_per_capita	cpi_2012	index
Alabama	1970	0.12	0.427	46.8	36739131	0.2	89.8	229.59391666666667	38.825
Alabama	1971	0.12	0.423	47.3	39490694	0.2	95.4	229.59391666666667	40.49166666666667
Alabama	1972	0.12	0.421	47.5	42198422	0.2	101.1	229.59391666666667	41.81666666666666
Alabama	1973	0.12	0.431	46.4	43328876	0.2	102.9	229.59391666666667	44.4
Alabama	1974	0.12	0.466	42.9	45943402	0.2	108.2	229.59391666666667	49.30833333333334
Alabama	1975	0.12	0.504	39.7	47956285	0.2	111.7	229.59391666666667	53.81666666666667
Alabama	1976	0.12	0.501	39.9	50409197	0.2	116.2	229.59391666666667	56.90833333333333
Alabama	1977	0.12	0.551	36.3	51516608	0.2	117.1	229.59391666666667	60.608333333333334
Alabama	1978	0.12	0.568	35.2	54460929	0.2	123	229.59391666666667	65.23333333333333
Alabama	1979	0.12	0.606	33.3	54496057	0.2	121.4	229.59391666666667	72.575
Alabama	1980	0.12	0.688	34.9	55701205	0.24	123.2	229.59391666666667	82.40833333333333
Alabama	1981	0.16	0.731	32.8	72852874	0.24	119.6	229.59391666666667	90.925
Alabama	1982	0.16	0.844	38.4	74641962	0.24	119.1	229.59391666666667	96.5
Alabama	1983	0.16	0.908	35.2	73371489	0.32	116.3	229.59391666666667	99.6
Alabama	1984	0.16	0.99	32.8	72144256	0.325	113	229.59391666666667	103.88333333333333
Alabama	1985	0.165	1.03	31.6	76693928	0.325	114.5	229.59391666666667	107.56666666666666
Alabama	1986	0.165	1.1	29.6	77175083	0.325	116.3	229.59391666666667	109.60833333333333
Alabama	1987	0.165	1.144	28.5	77097672	0.325	114	229.59391666666667	113.625
Alabama	1988	0.165	1.223	26.6	76529290	0.325	112.1	229.59391666666667	118.25833333333333
Alabama	1989	0.165	1.391	23.4	74959156	0.325	105.6	229.59391666666667	123.96666666666667
Alabama	1990	0.165	1.444	22.5	74656216	0.325	108.6	229.59391666666667	130.65833333333333
